NO_OF_FRAMES	392
NO_OF_CAMERAS	2
NO_OF_BODIES	1
FREQUENCY	20
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-05-13, 11:12:26	4529.38133216
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
 X	 Y	 Z	 Roll	 Pitch	 Yaw	 Residual	 Rot[0]	 Rot[1]	 Rot[2]	 Rot[3]	 Rot[4]	 Rot[5]	 Rot[6]	 Rot[7]	 Rot[8]
105.14835	143.94353	-176.06946	-1.24180	-0.73295	-0.91667	2.22387	0.99979	-0.01572	0.01313	0.01600	0.99964	-0.02146	-0.01279	0.02167	0.99968	
105.00287	142.88972	-176.78790	-1.28567	-0.70298	-0.93198	2.22478	0.99979	-0.01599	0.01263	0.01626	0.99962	-0.02223	-0.01227	0.02244	0.99967	
104.69855	142.43600	-177.58905	-1.33474	-0.63709	-0.94587	2.24803	0.99980	-0.01624	0.01150	0.01651	0.99960	-0.02311	-0.01112	0.02329	0.99967	
104.53036	142.12466	-178.34747	-1.37399	-0.58735	-0.95098	2.33228	0.99981	-0.01635	0.01064	0.01660	0.99958	-0.02381	-0.01025	0.02398	0.99966	
104.58865	141.90768	-178.96054	-1.36152	-0.57850	-0.97873	2.25571	0.99980	-0.01684	0.01050	0.01708	0.99958	-0.02358	-0.01010	0.02376	0.99967	
104.88315	142.34506	-178.90591	-1.32988	-0.59410	-1.04185	2.24316	0.99978	-0.01794	0.01079	0.01818	0.99957	-0.02302	-0.01037	0.02321	0.99968	
105.06747	142.34100	-178.68893	-1.37476	-0.58643	-1.06679	2.20614	0.99977	-0.01837	0.01068	0.01862	0.99954	-0.02380	-0.01023	0.02399	0.99966	
104.69379	140.68790	-178.70804	-1.56255	-0.55270	-1.11440	2.34041	0.99976	-0.01918	0.01017	0.01945	0.99944	-0.02708	-0.00965	0.02727	0.99958	
105.31995	141.81921	-178.03027	-1.59625	-0.59639	-1.04235	2.26729	0.99978	-0.01789	0.01091	0.01819	0.99945	-0.02766	-0.01041	0.02785	0.99956	
105.99039	142.65714	-177.00662	-1.56963	-0.67260	-1.03860	2.19149	0.99977	-0.01780	0.01223	0.01812	0.99947	-0.02717	-0.01174	0.02739	0.99956	
105.70398	142.03326	-176.65472	-1.70795	-0.64154	-1.01217	2.25216	0.99978	-0.01732	0.01172	0.01766	0.99941	-0.02960	-0.01120	0.02980	0.99949	
106.19666	141.99438	-175.71683	-1.76250	-0.70528	-0.94246	2.25851	0.99979	-0.01606	0.01281	0.01645	0.99940	-0.03055	-0.01231	0.03075	0.99945	
106.14691	142.34613	-175.27289	-1.76077	-0.68893	-0.92444	2.28144	0.99980	-0.01576	0.01251	0.01613	0.99940	-0.03053	-0.01202	0.03072	0.99946	
106.44125	142.30914	-174.80206	-1.73943	-0.72927	-0.89682	2.22330	0.99980	-0.01526	0.01320	0.01565	0.99942	-0.03015	-0.01273	0.03035	0.99946	
106.71509	142.59329	-174.51190	-1.66776	-0.76759	-0.90611	2.32957	0.99979	-0.01542	0.01385	0.01581	0.99946	-0.02889	-0.01340	0.02910	0.99949	
106.85117	142.58916	-174.32297	-1.65639	-0.76525	-0.88288	2.26402	0.99979	-0.01502	0.01379	0.01541	0.99947	-0.02870	-0.01336	0.02890	0.99949	
106.67648	142.16795	-174.73148	-1.65071	-0.74133	-0.86621	2.28822	0.99980	-0.01474	0.01337	0.01512	0.99948	-0.02861	-0.01294	0.02880	0.99950	
106.81116	142.45676	-174.96130	-1.56328	-0.71794	-0.84507	2.23802	0.99981	-0.01440	0.01293	0.01475	0.99952	-0.02709	-0.01253	0.02728	0.99955	
107.18149	142.15680	-175.16293	-1.56157	-0.73701	-0.84126	2.26178	0.99981	-0.01433	0.01326	0.01468	0.99953	-0.02706	-0.01286	0.02725	0.99955	
107.17575	141.83058	-175.50522	-1.56034	-0.70087	-0.85284	2.21714	0.99981	-0.01455	0.01263	0.01488	0.99952	-0.02704	-0.01223	0.02723	0.99955	
107.60995	141.72397	-175.76453	-1.56575	-0.71725	-0.84743	2.26839	0.99981	-0.01444	0.01292	0.01479	0.99952	-0.02714	-0.01252	0.02732	0.99955	
107.66013	141.94931	-176.25168	-1.50279	-0.69446	-0.89715	2.22900	0.99980	-0.01533	0.01253	0.01566	0.99954	-0.02603	-0.01212	0.02622	0.99958	
108.17392	141.57764	-176.43744	-1.48006	-0.72369	-0.98060	2.24582	0.99977	-0.01678	0.01307	0.01711	0.99953	-0.02561	-0.01263	0.02583	0.99959	
107.85367	141.99033	-177.11264	-1.46545	-0.65252	-0.97822	2.27992	0.99979	-0.01678	0.01182	0.01707	0.99953	-0.02538	-0.01139	0.02557	0.99961	
108.01154	143.00552	-177.47723	-1.29525	-0.65070	-1.06127	2.23363	0.99976	-0.01826	0.01177	0.01852	0.99958	-0.02239	-0.01136	0.02260	0.99968	
108.22250	142.18268	-177.54376	-1.36149	-0.65632	-1.07394	2.23998	0.99976	-0.01847	0.01189	0.01874	0.99955	-0.02354	-0.01145	0.02376	0.99965	
108.96854	142.19656	-177.11661	-1.38836	-0.72334	-1.07016	2.23483	0.99975	-0.01837	0.01307	0.01868	0.99954	-0.02399	-0.01262	0.02423	0.99963	
109.02780	142.40836	-177.23773	-1.37366	-0.71190	-1.06396	2.19846	0.99975	-0.01827	0.01286	0.01857	0.99955	-0.02374	-0.01242	0.02397	0.99964	
108.88184	141.61374	-177.53470	-1.55627	-0.66596	-0.95224	2.33129	0.99979	-0.01630	0.01207	0.01662	0.99950	-0.02696	-0.01162	0.02716	0.99956	
109.24222	142.11752	-177.29248	-1.51775	-0.68862	-0.95484	2.28142	0.99979	-0.01634	0.01245	0.01666	0.99952	-0.02628	-0.01202	0.02648	0.99958	
109.56519	142.24805	-176.85852	-1.47989	-0.71536	-0.95794	2.21684	0.99978	-0.01639	0.01291	0.01672	0.99953	-0.02561	-0.01249	0.02582	0.99959	
109.45016	142.65845	-177.06104	-1.44454	-0.68924	-0.94145	2.20683	0.99979	-0.01612	0.01244	0.01643	0.99955	-0.02501	-0.01203	0.02521	0.99961	
109.60056	143.00485	-176.73926	-1.43914	-0.69172	-0.94641	2.23952	0.99979	-0.01621	0.01248	0.01652	0.99955	-0.02491	-0.01207	0.02511	0.99961	
110.02802	142.36673	-176.10760	-1.53607	-0.72167	-0.91921	2.26517	0.99979	-0.01570	0.01302	0.01604	0.99952	-0.02660	-0.01260	0.02680	0.99956	
110.35355	142.60461	-175.79391	-1.52934	-0.74211	-0.91684	2.27213	0.99979	-0.01565	0.01337	0.01600	0.99952	-0.02648	-0.01295	0.02669	0.99956	
110.75259	143.25861	-174.99646	-1.47742	-0.75870	-0.92532	2.24169	0.99978	-0.01580	0.01365	0.01615	0.99954	-0.02557	-0.01324	0.02578	0.99958	
110.62781	141.38806	-174.90677	-1.71872	-0.73059	-0.84291	2.33166	0.99981	-0.01432	0.01319	0.01471	0.99945	-0.02980	-0.01275	0.02999	0.99947	
110.81961	143.38971	-174.67163	-1.53655	-0.73520	-0.81312	2.20512	0.99982	-0.01384	0.01321	0.01419	0.99954	-0.02663	-0.01283	0.02681	0.99956	
110.72256	143.46146	-174.62567	-1.49921	-0.71483	-0.84921	2.27873	0.99981	-0.01449	0.01286	0.01482	0.99955	-0.02598	-0.01248	0.02616	0.99958	
110.79126	143.55032	-174.51248	-1.42652	-0.71761	-0.92215	2.29335	0.99979	-0.01578	0.01292	0.01609	0.99957	-0.02469	-0.01252	0.02489	0.99961	
111.06516	142.87772	-174.64127	-1.50189	-0.74477	-0.90905	2.28999	0.99979	-0.01552	0.01341	0.01586	0.99954	-0.02600	-0.01300	0.02621	0.99957	
110.98523	143.67053	-174.97308	-1.36840	-0.72007	-0.95547	2.23851	0.99978	-0.01637	0.01296	0.01667	0.99958	-0.02367	-0.01257	0.02388	0.99964	
110.90915	143.40714	-175.34525	-1.41228	-0.70969	-0.96646	2.26045	0.99978	-0.01656	0.01280	0.01687	0.99956	-0.02443	-0.01239	0.02464	0.99962	
110.74115	143.43231	-175.62463	-1.48215	-0.67820	-0.87979	2.31216	0.99981	-0.01504	0.01223	0.01535	0.99955	-0.02568	-0.01184	0.02586	0.99960	
110.66608	143.06068	-175.96478	-1.47151	-0.69611	-0.92081	2.22039	0.99980	-0.01575	0.01256	0.01607	0.99955	-0.02548	-0.01215	0.02568	0.99960	
110.52737	142.46118	-176.23312	-1.51713	-0.70488	-0.93995	2.27860	0.99979	-0.01607	0.01273	0.01640	0.99952	-0.02627	-0.01230	0.02647	0.99957	
110.37546	143.04796	-176.04712	-1.48205	-0.71049	-0.93452	2.22310	0.99979	-0.01598	0.01282	0.01631	0.99954	-0.02566	-0.01240	0.02586	0.99959	
110.13647	143.37453	-176.30368	-1.44951	-0.72233	-0.94225	2.22554	0.99979	-0.01612	0.01302	0.01644	0.99955	-0.02509	-0.01261	0.02529	0.99960	
109.52188	143.31277	-176.70880	-1.45126	-0.69122	-0.94442	2.23286	0.99979	-0.01617	0.01248	0.01648	0.99955	-0.02512	-0.01206	0.02532	0.99961	
109.53601	141.99500	-176.32632	-1.70468	-0.71158	-0.85147	2.30911	0.99981	-0.01448	0.01285	0.01486	0.99945	-0.02956	-0.01242	0.02975	0.99948	
109.62939	142.66724	-176.24945	-1.65176	-0.75450	-0.86296	2.25419	0.99980	-0.01468	0.01360	0.01506	0.99948	-0.02862	-0.01317	0.02882	0.99950	
108.75842	143.35043	-176.72925	-1.63013	-0.66901	-0.83267	2.19981	0.99983	-0.01419	0.01208	0.01453	0.99949	-0.02827	-0.01168	0.02845	0.99953	
109.01019	143.36855	-176.49600	-1.64447	-0.71295	-0.85748	2.23783	0.99981	-0.01460	0.01287	0.01496	0.99948	-0.02851	-0.01244	0.02870	0.99951	
109.30704	143.56892	-176.22632	-1.64397	-0.74914	-0.87394	2.25900	0.99980	-0.01487	0.01351	0.01525	0.99948	-0.02849	-0.01307	0.02869	0.99950	
109.01425	144.62706	-176.67184	-1.55656	-0.71175	-0.88992	2.21818	0.99980	-0.01519	0.01284	0.01553	0.99952	-0.02697	-0.01242	0.02716	0.99955	
108.89084	144.23009	-176.56680	-1.57419	-0.70063	-0.91757	2.22693	0.99980	-0.01567	0.01266	0.01601	0.99950	-0.02727	-0.01223	0.02747	0.99955	
108.32709	143.60342	-177.16763	-1.61695	-0.63927	-0.91776	2.29430	0.99981	-0.01570	0.01160	0.01602	0.99948	-0.02804	-0.01116	0.02822	0.99954	
108.32846	143.74490	-177.35220	-1.57043	-0.62983	-0.91925	2.26001	0.99981	-0.01574	0.01143	0.01604	0.99950	-0.02723	-0.01099	0.02740	0.99956	
108.40369	145.74033	-177.68842	-1.28963	-0.64113	-0.93339	2.20451	0.99980	-0.01603	0.01155	0.01629	0.99962	-0.02232	-0.01119	0.02251	0.99968	
108.32422	145.30786	-177.89679	-1.25682	-0.64031	-0.94241	2.24082	0.99980	-0.01620	0.01153	0.01645	0.99963	-0.02175	-0.01118	0.02193	0.99970	
108.29291	144.15163	-177.88528	-1.31612	-0.64621	-0.94512	2.30900	0.99980	-0.01623	0.01165	0.01649	0.99960	-0.02278	-0.01128	0.02297	0.99967	
108.39554	144.28503	-177.91452	-1.27554	-0.65264	-0.92441	2.26301	0.99980	-0.01588	0.01175	0.01613	0.99963	-0.02207	-0.01139	0.02226	0.99969	
108.07626	144.29446	-178.09256	-1.25243	-0.61635	-0.90723	2.24522	0.99982	-0.01559	0.01110	0.01583	0.99964	-0.02168	-0.01076	0.02186	0.99970	
108.36835	143.67307	-177.57538	-1.27725	-0.66757	-0.92163	2.30049	0.99980	-0.01582	0.01201	0.01608	0.99963	-0.02210	-0.01165	0.02229	0.99968	
108.58939	143.64563	-177.18887	-1.25130	-0.69176	-0.96830	2.24609	0.99978	-0.01663	0.01244	0.01690	0.99962	-0.02163	-0.01207	0.02184	0.99969	
108.36942	143.45496	-176.71948	-1.24012	-0.68162	-0.96973	2.17019	0.99979	-0.01666	0.01226	0.01692	0.99963	-0.02144	-0.01190	0.02164	0.99970	
108.63388	142.13544	-175.87253	-1.43007	-0.71286	-0.98966	2.30542	0.99977	-0.01696	0.01287	0.01727	0.99954	-0.02474	-0.01244	0.02495	0.99961	
108.64862	142.10657	-175.40387	-1.46194	-0.71336	-0.94931	2.23864	0.99979	-0.01624	0.01287	0.01657	0.99954	-0.02530	-0.01245	0.02551	0.99960	
109.01651	142.39946	-174.45947	-1.43728	-0.76536	-0.96534	2.33468	0.99977	-0.01651	0.01377	0.01685	0.99955	-0.02485	-0.01336	0.02508	0.99960	
108.75159	142.46530	-174.23709	-1.44398	-0.74941	-0.97504	2.30589	0.99977	-0.01668	0.01350	0.01702	0.99954	-0.02497	-0.01308	0.02520	0.99960	
108.76270	142.47528	-173.96518	-1.44832	-0.73594	-0.97884	2.34885	0.99977	-0.01675	0.01327	0.01708	0.99954	-0.02505	-0.01284	0.02527	0.99960	
108.64948	141.99341	-173.85901	-1.53688	-0.71459	-0.98051	2.30294	0.99978	-0.01677	0.01292	0.01711	0.99950	-0.02660	-0.01247	0.02682	0.99956	
108.71887	142.51140	-174.05103	-1.50461	-0.71220	-0.97386	2.25997	0.99978	-0.01666	0.01287	0.01699	0.99952	-0.02604	-0.01243	0.02626	0.99958	
