NO_OF_FRAMES	14124
NO_OF_CAMERAS	2
NO_OF_BODIES	1
FREQUENCY	20
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-05-13, 11:12:26	4529.38133216
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
 X	 Y	 Z	 Roll	 Pitch	 Yaw	 Residual	 Rot[0]	 Rot[1]	 Rot[2]	 Rot[3]	 Rot[4]	 Rot[5]	 Rot[6]	 Rot[7]	 Rot[8]
69.38757	160.86325	-174.73068	-1.22102	-0.89097	-4.18297	2.30448	0.99722	-0.07259	0.01706	0.07293	0.99713	-0.02012	-0.01555	0.02131	0.99965	
68.95099	160.28302	-175.53323	-1.30385	-0.80231	-4.17915	2.23770	0.99724	-0.07254	0.01562	0.07287	0.99711	-0.02167	-0.01400	0.02275	0.99964	
68.77219	160.10709	-175.74918	-1.35232	-0.76192	-4.11532	2.33354	0.99733	-0.07143	0.01495	0.07176	0.99717	-0.02259	-0.01330	0.02360	0.99963	
69.57684	160.08627	-175.68344	-1.28192	-0.82312	-4.21911	2.33743	0.99719	-0.07323	0.01597	0.07356	0.99706	-0.02125	-0.01437	0.02237	0.99965	
69.25934	159.74344	-175.98865	-1.32917	-0.76871	-4.20724	2.19949	0.99722	-0.07303	0.01508	0.07336	0.99706	-0.02215	-0.01342	0.02319	0.99964	
69.34534	158.66348	-176.19943	-1.45627	-0.74022	-4.19214	2.22561	0.99724	-0.07275	0.01474	0.07310	0.99703	-0.02440	-0.01292	0.02541	0.99959	
69.69699	158.47665	-176.27600	-1.49880	-0.75691	-4.19943	2.29944	0.99723	-0.07286	0.01509	0.07322	0.99700	-0.02512	-0.01321	0.02615	0.99957	
69.81525	159.37755	-176.55438	-1.26453	-0.75043	-4.28558	2.15421	0.99712	-0.07442	0.01471	0.07472	0.99698	-0.02103	-0.01310	0.02207	0.99967	
69.45926	158.32698	-176.95651	-1.35312	-0.69470	-4.26358	2.30272	0.99716	-0.07404	0.01384	0.07434	0.99698	-0.02265	-0.01212	0.02361	0.99965	
69.53729	157.71674	-176.92996	-1.40241	-0.67634	-4.24590	2.24795	0.99719	-0.07373	0.01358	0.07403	0.99698	-0.02353	-0.01180	0.02447	0.99963	
69.99252	156.93976	-176.75659	-1.44840	-0.70987	-4.25136	2.24165	0.99717	-0.07380	0.01423	0.07413	0.99695	-0.02429	-0.01239	0.02527	0.99960	
70.49542	156.34921	-176.29834	-1.41908	-0.75345	-4.26541	2.21277	0.99714	-0.07403	0.01495	0.07437	0.99695	-0.02372	-0.01315	0.02476	0.99961	
70.83151	156.98703	-175.86121	-1.30772	-0.79067	-4.30793	2.21063	0.99708	-0.07478	0.01547	0.07511	0.99694	-0.02172	-0.01380	0.02282	0.99964	
71.14142	156.24380	-175.32001	-1.30333	-0.82434	-4.30996	2.28609	0.99707	-0.07481	0.01605	0.07514	0.99694	-0.02160	-0.01439	0.02274	0.99964	
71.43967	155.74783	-175.16138	-1.28184	-0.86295	-4.37231	2.32243	0.99698	-0.07588	0.01672	0.07623	0.99687	-0.02116	-0.01506	0.02237	0.99964	
71.51370	155.58948	-174.89758	-1.25891	-0.86192	-4.36502	2.29125	0.99699	-0.07576	0.01667	0.07610	0.99688	-0.02076	-0.01504	0.02197	0.99965	
71.39731	155.30920	-174.89255	-1.25082	-0.85383	-4.39477	2.34252	0.99695	-0.07629	0.01653	0.07662	0.99685	-0.02062	-0.01490	0.02183	0.99965	
71.74265	155.05368	-174.56287	-1.21306	-0.88417	-4.40442	2.26927	0.99693	-0.07645	0.01701	0.07679	0.99685	-0.01992	-0.01543	0.02117	0.99966	
71.91873	155.17337	-174.69284	-1.21004	-0.88528	-4.39845	2.34590	0.99694	-0.07635	0.01702	0.07668	0.99686	-0.01987	-0.01545	0.02112	0.99966	
71.78802	154.22556	-174.84528	-1.23581	-0.85735	-4.40896	2.37616	0.99693	-0.07654	0.01657	0.07687	0.99683	-0.02035	-0.01496	0.02156	0.99966	
71.61267	154.29294	-175.19937	-1.23976	-0.79753	-4.40284	2.28506	0.99695	-0.07645	0.01554	0.07676	0.99684	-0.02050	-0.01392	0.02163	0.99967	
72.35843	153.49246	-174.87869	-1.28007	-0.86082	-4.41609	2.33222	0.99692	-0.07665	0.01670	0.07699	0.99681	-0.02112	-0.01502	0.02234	0.99964	
72.48672	153.11125	-175.21887	-1.29496	-0.84861	-4.43829	2.31052	0.99689	-0.07703	0.01651	0.07738	0.99677	-0.02139	-0.01481	0.02260	0.99963	
72.51471	153.18198	-175.76599	-1.28902	-0.81610	-4.45832	2.32763	0.99687	-0.07739	0.01595	0.07773	0.99675	-0.02132	-0.01424	0.02249	0.99965	
72.23621	153.86816	-176.44049	-1.19347	-0.76030	-4.44467	2.26789	0.99690	-0.07720	0.01484	0.07749	0.99680	-0.01974	-0.01327	0.02083	0.99970	
72.57968	152.77298	-176.39743	-1.30914	-0.76874	-4.45441	2.16777	0.99689	-0.07734	0.01515	0.07766	0.99674	-0.02174	-0.01342	0.02284	0.99965	
72.85025	152.16057	-176.34283	-1.37701	-0.77482	-4.45636	2.30927	0.99689	-0.07735	0.01535	0.07769	0.99671	-0.02291	-0.01352	0.02403	0.99962	
73.35672	152.56393	-175.98181	-1.34998	-0.82475	-4.45051	2.25004	0.99688	-0.07724	0.01617	0.07759	0.99673	-0.02237	-0.01439	0.02356	0.99962	
73.42819	152.56142	-175.72763	-1.36116	-0.82164	-4.46958	2.13719	0.99686	-0.07757	0.01614	0.07792	0.99670	-0.02257	-0.01434	0.02375	0.99962	
73.25555	152.40060	-176.04007	-1.46251	-0.78614	-4.38987	2.16463	0.99697	-0.07617	0.01563	0.07654	0.99677	-0.02440	-0.01372	0.02552	0.99958	
73.36417	153.65392	-175.75586	-1.28042	-0.80757	-4.48213	2.25392	0.99684	-0.07781	0.01579	0.07814	0.99672	-0.02118	-0.01409	0.02234	0.99965	
73.43930	153.93445	-175.66974	-1.28366	-0.81955	-4.48414	2.29492	0.99684	-0.07784	0.01601	0.07818	0.99671	-0.02122	-0.01430	0.02240	0.99965	
73.83572	154.20547	-174.85703	-1.29433	-0.84659	-4.48536	2.24602	0.99683	-0.07785	0.01649	0.07820	0.99671	-0.02136	-0.01478	0.02259	0.99964	
73.88974	154.39462	-174.72137	-1.31360	-0.84555	-4.46702	2.25044	0.99685	-0.07753	0.01649	0.07788	0.99673	-0.02171	-0.01476	0.02292	0.99963	
73.81967	154.11801	-174.82645	-1.36965	-0.81031	-4.41663	2.30867	0.99693	-0.07665	0.01594	0.07700	0.99677	-0.02274	-0.01414	0.02390	0.99961	
74.31253	154.86734	-174.50412	-1.33759	-0.85383	-4.39738	2.29190	0.99695	-0.07631	0.01664	0.07666	0.99681	-0.02213	-0.01490	0.02334	0.99962	
74.18915	155.44916	-175.00412	-1.30803	-0.80649	-4.37569	2.31766	0.99699	-0.07596	0.01577	0.07629	0.99685	-0.02169	-0.01408	0.02283	0.99964	
74.92322	155.58475	-174.62241	-1.30233	-0.87048	-4.36994	2.32032	0.99698	-0.07583	0.01688	0.07619	0.99686	-0.02150	-0.01519	0.02273	0.99963	
74.89560	156.19565	-174.94986	-1.27175	-0.83527	-4.35845	2.26686	0.99700	-0.07565	0.01622	0.07599	0.99689	-0.02102	-0.01458	0.02219	0.99965	
75.03540	156.71069	-175.30762	-1.23391	-0.83007	-4.36332	2.25438	0.99700	-0.07575	0.01608	0.07607	0.99689	-0.02037	-0.01449	0.02153	0.99966	
75.49756	157.25610	-175.43204	-1.21882	-0.85316	-4.33098	2.35638	0.99703	-0.07518	0.01645	0.07551	0.99694	-0.02009	-0.01489	0.02127	0.99966	
74.86902	157.96219	-176.10989	-1.18452	-0.77407	-4.30264	2.25531	0.99709	-0.07473	0.01502	0.07502	0.99699	-0.01960	-0.01351	0.02067	0.99970	
75.74484	158.57318	-175.55179	-1.14197	-0.84320	-4.37723	2.31636	0.99698	-0.07602	0.01619	0.07631	0.99691	-0.01875	-0.01472	0.01993	0.99969	
75.44873	159.24222	-176.26474	-1.13109	-0.80042	-4.34274	2.34587	0.99703	-0.07543	0.01542	0.07572	0.99696	-0.01863	-0.01397	0.01974	0.99971	
75.67175	159.72052	-175.74997	-1.15231	-0.81367	-4.34230	2.26661	0.99703	-0.07541	0.01568	0.07571	0.99695	-0.01898	-0.01420	0.02011	0.99970	
75.36063	158.94113	-175.82690	-1.39876	-0.74642	-4.25020	2.17181	0.99717	-0.07377	0.01480	0.07411	0.99698	-0.02338	-0.01303	0.02441	0.99962	
75.57040	160.22119	-175.74988	-1.25870	-0.77895	-4.22829	2.30321	0.99719	-0.07342	0.01517	0.07372	0.99706	-0.02090	-0.01359	0.02196	0.99967	
76.04556	160.03796	-175.02502	-1.32842	-0.83569	-4.24253	2.31857	0.99715	-0.07362	0.01626	0.07397	0.99702	-0.02204	-0.01458	0.02318	0.99962	
76.07944	160.26385	-175.17694	-1.30701	-0.84795	-4.24534	2.33469	0.99715	-0.07367	0.01644	0.07402	0.99702	-0.02165	-0.01480	0.02281	0.99963	
76.12027	160.44733	-174.84708	-1.32349	-0.84499	-4.24694	2.31920	0.99715	-0.07370	0.01641	0.07405	0.99701	-0.02194	-0.01475	0.02309	0.99962	
76.21939	160.29822	-174.83676	-1.33347	-0.87551	-4.25494	2.31170	0.99713	-0.07382	0.01696	0.07419	0.99700	-0.02207	-0.01528	0.02327	0.99961	
76.37094	160.42883	-174.83954	-1.34682	-0.86007	-4.23981	2.33478	0.99715	-0.07356	0.01670	0.07392	0.99701	-0.02233	-0.01501	0.02350	0.99961	
76.33807	161.07608	-174.89734	-1.31167	-0.85889	-4.22787	2.27014	0.99717	-0.07336	0.01663	0.07372	0.99704	-0.02172	-0.01499	0.02289	0.99963	
76.24561	160.76126	-175.34003	-1.35835	-0.82978	-4.23101	2.31644	0.99717	-0.07341	0.01619	0.07377	0.99702	-0.02257	-0.01448	0.02370	0.99961	
76.14532	160.57710	-175.41354	-1.38565	-0.82027	-4.22733	2.32651	0.99718	-0.07335	0.01606	0.07371	0.99701	-0.02306	-0.01432	0.02418	0.99961	
76.20517	160.41196	-175.37393	-1.38139	-0.79202	-4.22331	2.16125	0.99719	-0.07329	0.01556	0.07364	0.99702	-0.02302	-0.01382	0.02411	0.99961	
76.43188	160.99815	-175.85175	-1.34002	-0.81556	-4.18091	2.21515	0.99724	-0.07255	0.01590	0.07290	0.99709	-0.02229	-0.01423	0.02338	0.99963	
76.11505	160.82269	-176.56033	-1.31282	-0.74987	-4.19849	2.19107	0.99723	-0.07289	0.01473	0.07321	0.99708	-0.02189	-0.01309	0.02291	0.99965	
76.46451	160.58371	-176.27502	-1.30954	-0.78019	-4.19129	2.18714	0.99723	-0.07276	0.01525	0.07308	0.99709	-0.02180	-0.01362	0.02285	0.99965	
76.61249	160.72299	-176.36404	-1.31014	-0.75744	-4.23166	2.19987	0.99719	-0.07347	0.01487	0.07378	0.99704	-0.02183	-0.01322	0.02286	0.99965	
76.62592	160.36473	-176.45377	-1.29962	-0.77657	-4.23088	2.22935	0.99718	-0.07345	0.01519	0.07377	0.99704	-0.02162	-0.01355	0.02268	0.99965	
76.64639	160.64719	-176.47879	-1.20677	-0.76691	-4.29620	2.29579	0.99710	-0.07461	0.01492	0.07491	0.99699	-0.02000	-0.01338	0.02106	0.99969	
